business,name,per_unit_value,unit,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
squarefood&beverageltd.,Radhuni Turmeric Powder-25gm,1,Packet,radhuni,groceries,cooking-items,spices,12,  14 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Turmeric Powder</p>
<p>RADHUNI Turmeric Powder guarantees the proper composition of curcumin and the turmerics selected for processing are finest of their kind. As a result it gives the dishes an attractive golden color.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Turmeric Powder-50gm,1,Packet,radhuni,groceries,cooking-items,spices,24,  28 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Turmeric Powder</p>
<p>RADHUNI Turmeric Powder guarantees the proper composition of curcumin and the turmerics selected for processing are finest of their kind. As a result it gives the dishes an attractive golden color.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Turmeric Powder-100gm,1,Packet,radhuni,groceries,cooking-items,spices,43,  50 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Turmeric Powder</p>
<p>RADHUNI Turmeric Powder guarantees the proper composition of curcumin and the turmerics selected for processing are finest of their kind. As a result it gives the dishes an attractive golden color.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Turmeric Powder-200gm,1,Packet,radhuni,groceries,cooking-items,spices,83,  95 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Turmeric Powder</p>
<p>RADHUNI Turmeric Powder guarantees the proper composition of curcumin and the turmerics selected for processing are finest of their kind. As a result it gives the dishes an attractive golden color.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Turmeric Powder(Pet Jer)-200gm,1,Packet,radhuni,groceries,cooking-items,spices,97,  110 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Turmeric Powder</p>
<p>RADHUNI Turmeric Powder guarantees the proper composition of curcumin and the turmerics selected for processing are finest of their kind. As a result it gives the dishes an attractive golden color.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Turmeric Powder-500gm,1,Packet,radhuni,groceries,cooking-items,spices,170,  200 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Turmeric Powder</p>
<p>RADHUNI Turmeric Powder guarantees the proper composition of curcumin and the turmerics selected for processing are finest of their kind. As a result it gives the dishes an attractive golden color.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Turmeric Powder-1kg,1,Packet,radhuni,groceries,cooking-items,spices,318,  365 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Turmeric Powder</p>
<p>RADHUNI Turmeric Powder guarantees the proper composition of curcumin and the turmerics selected for processing are finest of their kind. As a result it gives the dishes an attractive golden color.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Chilli Powder-25gm,1,Packet,radhuni,groceries,cooking-items,spices,13,  15 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p><mat-tab-body class=""mat-tab-body ng-tns-c13-2 mat-tab-body-active ng-star-inserted"" role=""tabpanel"" id=""mat-tab-content-0-0"" aria-labelledby=""mat-tab-label-0-0"">
<div class=""mat-tab-body-content ng-trigger ng-trigger-translateTab"">
<div class=""product-description ng-star-inserted"">
<div>
<p>The RADHUNI Chilli powder is produced from the best varieties of red chilli, which delivers the desired red color &amp; hotness.</p>
<p>Capsaicin, the main flavoring compound for hotness and Capsanthin,</p>
<p>the main coloring compound is blended in proper proportion to maintain the real taste of chili.</p>
</div>
</div>
</div>
</mat-tab-body><mat-tab-body class=""mat-tab-body ng-tns-c13-5 ng-star-inserted"" role=""tabpanel"" id=""mat-tab-content-0-3"" aria-labelledby=""mat-tab-label-0-3""></mat-tab-body></p>",,,,,,,
squarefood&beverageltd.,Radhuni Chilli Powder-50gm,1,Packet,radhuni,groceries,cooking-items,spices,26,  30 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p><mat-tab-body class=""mat-tab-body ng-tns-c13-2 mat-tab-body-active ng-star-inserted"" role=""tabpanel"" id=""mat-tab-content-0-0"" aria-labelledby=""mat-tab-label-0-0"">
<div class=""mat-tab-body-content ng-trigger ng-trigger-translateTab"">
<div class=""product-description ng-star-inserted"">
<div>
<p>The RADHUNI Chilli powder is produced from the best varieties of red chilli, which delivers the desired red color &amp; hotness.</p>
<p>Capsaicin, the main flavoring compound for hotness and Capsanthin,</p>
<p>the main coloring compound is blended in proper proportion to maintain the real taste of chili.</p>
</div>
</div>
</div>
</mat-tab-body><mat-tab-body class=""mat-tab-body ng-tns-c13-5 ng-star-inserted"" role=""tabpanel"" id=""mat-tab-content-0-3"" aria-labelledby=""mat-tab-label-0-3""></mat-tab-body></p>",,,,,,,
squarefood&beverageltd.,Radhuni Chilli Powder-100gm,1,Packet,radhuni,groceries,cooking-items,spices,47,  53 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p><mat-tab-body class=""mat-tab-body ng-tns-c13-2 mat-tab-body-active ng-star-inserted"" role=""tabpanel"" id=""mat-tab-content-0-0"" aria-labelledby=""mat-tab-label-0-0"">
<div class=""mat-tab-body-content ng-trigger ng-trigger-translateTab"">
<div class=""product-description ng-star-inserted"">
<div>
<p>The RADHUNI Chilli powder is produced from the best varieties of red chilli, which delivers the desired red color &amp; hotness.</p>
<p>Capsaicin, the main flavoring compound for hotness and Capsanthin,</p>
<p>the main coloring compound is blended in proper proportion to maintain the real taste of chili.</p>
</div>
</div>
</div>
</mat-tab-body><mat-tab-body class=""mat-tab-body ng-tns-c13-5 ng-star-inserted"" role=""tabpanel"" id=""mat-tab-content-0-3"" aria-labelledby=""mat-tab-label-0-3""></mat-tab-body></p>",,,,,,,
squarefood&beverageltd.,Radhuni Chilli Powder-200gm,1,Packet,radhuni,groceries,cooking-items,spices,87,  100 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p><mat-tab-body class=""mat-tab-body ng-tns-c13-2 mat-tab-body-active ng-star-inserted"" role=""tabpanel"" id=""mat-tab-content-0-0"" aria-labelledby=""mat-tab-label-0-0"">
<div class=""mat-tab-body-content ng-trigger ng-trigger-translateTab"">
<div class=""product-description ng-star-inserted"">
<div>
<p>The RADHUNI Chilli powder is produced from the best varieties of red chilli, which delivers the desired red color &amp; hotness.</p>
<p>Capsaicin, the main flavoring compound for hotness and Capsanthin,</p>
<p>the main coloring compound is blended in proper proportion to maintain the real taste of chili.</p>
</div>
</div>
</div>
</mat-tab-body><mat-tab-body class=""mat-tab-body ng-tns-c13-5 ng-star-inserted"" role=""tabpanel"" id=""mat-tab-content-0-3"" aria-labelledby=""mat-tab-label-0-3""></mat-tab-body></p>",,,,,,,
squarefood&beverageltd.,Radhuni Chilli Powder(Pet Jer)-200gm,1,Packet,radhuni,groceries,cooking-items,spices,102,  115 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 200gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Chilli Powder-500gm,1,Packet,radhuni,groceries,cooking-items,spices,210,  245 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p><mat-tab-body class=""mat-tab-body ng-tns-c13-2 mat-tab-body-active ng-star-inserted"" role=""tabpanel"" id=""mat-tab-content-0-0"" aria-labelledby=""mat-tab-label-0-0"">
<div class=""mat-tab-body-content ng-trigger ng-trigger-translateTab"">
<div class=""product-description ng-star-inserted"">
<div>
<p>The RADHUNI Chilli powder is produced from the best varieties of red chilli, which delivers the desired red color &amp; hotness.</p>
<p>Capsaicin, the main flavoring compound for hotness and Capsanthin,</p>
<p>the main coloring compound is blended in proper proportion to maintain the real taste of chili.</p>
</div>
</div>
</div>
</mat-tab-body><mat-tab-body class=""mat-tab-body ng-tns-c13-5 ng-star-inserted"" role=""tabpanel"" id=""mat-tab-content-0-3"" aria-labelledby=""mat-tab-label-0-3""></mat-tab-body></p>",,,,,,,
squarefood&beverageltd.,Radhuni Chilli Powder-1kg,1,Packet,radhuni,groceries,cooking-items,spices,410,  470 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p><mat-tab-body class=""mat-tab-body ng-tns-c13-2 mat-tab-body-active ng-star-inserted"" role=""tabpanel"" id=""mat-tab-content-0-0"" aria-labelledby=""mat-tab-label-0-0"">
<div class=""mat-tab-body-content ng-trigger ng-trigger-translateTab"">
<div class=""product-description ng-star-inserted"">
<div>
<p>The RADHUNI Chilli powder is produced from the best varieties of red chilli, which delivers the desired red color &amp; hotness.</p>
<p>Capsaicin, the main flavoring compound for hotness and Capsanthin,</p>
<p>the main coloring compound is blended in proper proportion to maintain the real taste of chili.</p>
</div>
</div>
</div>
</mat-tab-body><mat-tab-body class=""mat-tab-body ng-tns-c13-5 ng-star-inserted"" role=""tabpanel"" id=""mat-tab-content-0-3"" aria-labelledby=""mat-tab-label-0-3""></mat-tab-body></p>",,,,,,,
squarefood&beverageltd.,Radhuni Hathazari Chilli Powder-100gm,1,Packet,radhuni,groceries,cooking-items,spices,43,  50 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p><strong>CHILLI POWDER:</strong><br />The Radhuni Hathazari Chilli Powder is produced from the best varieties of red Chilli, which delivers the desired red color &amp; hotness. Capsaicin, the main flavoring compound for hotness and Capsanthin, the main coloring compound is blended in proper proportion to maintain the real taste of chili.</p>
<p><strong>SPECIFICATIONS:</strong><br />Weight: 100gm<br />Flavor: Hathazari Chilli<br />Packaging Type: Pouch</p>",,,,,,,
squarefood&beverageltd.,Radhuni Hathazari Chilli Powder-200gm,1,Packet,radhuni,groceries,cooking-items,spices,81,  95 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p><strong>CHILLI POWDER:</strong><br />The Radhuni Hathazari Chilli Powder is produced from the best varieties of red Chilli, which delivers the desired red color &amp; hotness. Capsaicin, the main flavoring compound for hotness and Capsanthin, the main coloring compound is blended in proper proportion to maintain the real taste of chili.</p>
<p><strong>SPECIFICATIONS:</strong><br />Weight: 200gm<br />Flavor: Hathazari Chilli<br />Packaging Type: Pouch</p>",,,,,,,
squarefood&beverageltd.,Radhuni Hathazari Chilli Powder-500gm,1,Packet,radhuni,groceries,cooking-items,spices,187,  220 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p><strong>CHILLI POWDER:</strong><br />The Radhuni Hathazari Chilli Powder is produced from the best varieties of red Chilli, which delivers the desired red color &amp; hotness. Capsaicin, the main flavoring compound for hotness and Capsanthin, the main coloring compound is blended in proper proportion to maintain the real taste of chili.</p>
<p><strong>SPECIFICATIONS:</strong><br />Weight: 500gm<br />Flavor: Hathazari Chilli<br />Packaging Type: Pouch</p>",,,,,,,
squarefood&beverageltd.,Radhuni Coriander Powder-15gm,1,Packet,radhuni,groceries,cooking-items,spices,5,  6 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Radhuni Coriander Powder</p>
<p>RADHUNI Coriander Powder has the distinct flavor and fragrance of coriander for your delicious preparations.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Coriander Powder-50gm,1,Packet,radhuni,groceries,cooking-items,spices,17,  20 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Radhuni Coriander Powder</p>
<p>RADHUNI Coriander Powder has the distinct flavor and fragrance of coriander for your delicious preparations.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Coriander Powder-100gm,1,Packet,radhuni,groceries,cooking-items,spices,28,  33 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Radhuni Coriander Powder</p>
<p>RADHUNI Coriander Powder has the distinct flavor and fragrance of coriander for your delicious preparations.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Coriander Powder-200gm,1,Packet,radhuni,groceries,cooking-items,spices,55,  63 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Radhuni Coriander Powder</p>
<p>RADHUNI Coriander Powder has the distinct flavor and fragrance of coriander for your delicious preparations.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Coriander Powder (Pet Jer)-200gm,1,Packet,radhuni,groceries,cooking-items,spices,70,  80 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Radhuni Coriander Powder</p>
<p>RADHUNI Coriander Powder has the distinct flavor and fragrance of coriander for your delicious preparations.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Coriander Powder-500gm,1,Packet,radhuni,groceries,cooking-items,spices,128,  145 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Radhuni Coriander Powder</p>
<p>RADHUNI Coriander Powder has the distinct flavor and fragrance of coriander for your delicious preparations.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Coriander Powder-1kg,1,Packet,radhuni,groceries,cooking-items,spices,245,  275 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Radhuni Coriander Powder</p>
<p>RADHUNI Coriander Powder has the distinct flavor and fragrance of coriander for your delicious preparations.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Cumin Powder-15gm,1,Packet,radhuni,groceries,cooking-items,spices,13,  15 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 15gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Cumin Powder-50gm,1,Packet,radhuni,groceries,cooking-items,spices,43,  48 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 50gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Cumin Powder-100gm,1,Packet,radhuni,groceries,cooking-items,spices,79,  88 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 100gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Cumin Powder-200gm,1,Packet,radhuni,groceries,cooking-items,spices,154,  170 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 200gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Cumin Powder (Pet Jer)-200gm,1,Packet,radhuni,groceries,cooking-items,spices,160,  175 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 200gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Cumin Powder-500gm,1,Packet,radhuni,groceries,cooking-items,spices,363,  400 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 500gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Cumin Powder-1kg,1,Packet,radhuni,groceries,cooking-items,spices,750,  795 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Brand: Square.</li>
<li>Net Weight: 1kg.</li>
<li>Good quality product.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Panchforan - Whole-50gm,1,Packet,radhuni,groceries,cooking-items,spices,20,  22 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Product Type: Panchforan.</li>
<li>Weight: 50gm.</li>
<li>Fresh Product.</li>
<li>Processed and packaged with direct supervision.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Panchforan - Powder-50gm,1,Packet,radhuni,groceries,cooking-items,spices,19,  22 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Product Type: Panchforan.</li>
<li>Weight: 50gm.</li>
<li>Fresh Product.</li>
<li>Processed and packaged with direct supervision.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Powdered Panchforan-Sylheti Mix-15gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,6,  8 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Product Type: Panchforan.</li>
<li>Weight: 15gm.</li>
<li>Fresh Product.</li>
<li>Processed and packaged with direct supervision.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Powdered Panchforan-Sylheti Mix-50gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,17,  20 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type: Panchforan.</li>
<li>Weight: 50gm.</li>
<li>Fresh Product.</li>
<li>Processed and packaged with direct supervision.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Garam Masala-15gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,24,  28 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Product Type: Garam Masala</li>
<li>Brand: Radhuni</li>
<li>Size: 15gm</li>
</ul>",,,,,,,
